GEOID,state,county,tract,household_count,avg_household_size,median_income,median_age,owner_rate,college_plus_pct
16055000101,16,55,101,1202,2.59,97381,51.3,88.01996672212978,35.78138343296328
16055000102,16,55,102,1847,2.56,96493,49.5,89.7671900378993,23.312883435582823
16055000201,16,55,201,1330,2.92,109726,37.8,80.07518796992481,26.44092219020173
16055000202,16,55,202,1312,2.7,92500,53.7,96.4939024390244,30.707456978967496
16055000203,16,55,203,1407,2.41,70843,52.6,80.73916133617627,26.635145784081953
16055000301,16,55,301,3091,2.91,74258,39.5,75.2183759301197,23.883191378411265
16055000303,16,55,303,2350,2.59,94306,38.9,78.38297872340425,27.377456516828552
16055000304,16,55,304,1332,3.16,91729,35.7,91.5915915915916,15.989263803680982
16055000401,16,55,401,2660,2.62,80847,37.8,72.03007518796993,26.937194127243067
16055000402,16,55,402,3844,2.9,92626,36.4,70.75962539021852,26.43445389496422
16055000501,16,55,501,2369,2.81,61852,35.0,79.27395525538202,20.14405762304922
16055000502,16,55,502,2915,2.54,98407,36.5,59.48542024013722,26.480836236933797
16055000503,16,55,503,1588,2.91,86023,28.7,56.612090680100756,23.83551673944687
16055000601,16,55,601,2094,2.36,65122,47.3,73.5912129894938,30.102749236323245
16055000602,16,55,602,2830,2.6,74811,38.3,58.37455830388693,22.336487042369395
16055000701,16,55,701,2274,2.62,90037,39.2,62.48900615655233,46.687395359961734
16055000702,16,55,702,1660,2.73,103578,40.4,85.5421686746988,27.483221476510067
16055000703,16,55,703,3411,2.37,81778,36.9,78.80386983289358,35.961398397669335
16055000704,16,55,704,1984,3.06,83013,34.3,56.19959677419355,32.09556706966033
16055000800,16,55,800,2652,2.27,79440,47.5,66.8552036199095,31.303418803418804
16055000901,16,55,901,1693,1.75,37266,39.3,23.803898405197874,14.460463084316295
16055000902,16,55,902,1715,1.62,42361,52.8,25.830903790087465,21.95402298850575
16055001002,16,55,1002,1940,2.67,96757,43.3,86.95876288659794,31.869009584664536
16055001003,16,55,1003,804,2.47,68813,52.9,73.50746268656717,33.64737550471063
16055001004,16,55,1004,1832,2.59,67463,44.0,72.6528384279476,23.255140457573123
16055001100,16,55,1100,929,2.29,81750,54.8,72.22820236813779,31.013797240551888
16055001201,16,55,1201,1272,2.71,83119,39.1,76.41509433962264,28.942807625649912
16055001202,16,55,1202,1457,2.07,42888,40.9,43.788606726149624,28.24302134646962
16055001300,16,55,1300,1857,2.25,73051,33.3,49.70382337102854,17.790200591910555
16055001400,16,55,1400,1264,2.11,66607,41.1,53.639240506329116,32.365747460087086
16055001500,16,55,1500,1304,2.34,81132,43.1,72.3159509202454,28.687525396180416
16055001600,16,55,1600,1263,2.26,80580,41.3,61.44101346001584,40.5417406749556
16055001700,16,55,1700,2052,2.24,105903,49.9,78.11890838206628,37.32119635890767
16055001801,16,55,1801,1203,2.89,137862,49.2,93.84871155444722,57.46606334841629
16055001802,16,55,1802,2446,2.33,97241,48.7,80.66230580539657,38.10417644298452
16055001901,16,55,1901,825,2.47,132678,60.6,98.42424242424242,35.43776057176891
16055001902,16,55,1902,569,1.85,81634,61.3,90.15817223198594,45.473684210526315
16055002000,16,55,2000,1545,2.48,95625,55.1,91.90938511326861,54.47263017356475
16055940000,16,55,940000,1050,2.44,78100,53.1,85.80952380952381,33.991894630192505
