"Table 1101. Quintiles of income before taxes: Shares of annual aggregate expenditures and sources of income, Consumer Expenditure Surveys, 2024",,,,,,,,
"(Aggregates in millions of dollars, unless otherwise indicated)",,,,,,,,
,,,,,,,,
Item,Aggregate,"Lowest
20
percent","Second
20
percent","Third
20
percent","Fourth
20
percent","Highest
20
percent",,
Number of consumer units (in thousands) a/ ,"135,760","27,139","27,186","26,959","27,205","27,272",,
Percent distribution of consumer units,100.0,20.0,20.0,19.9,20.0,20.1,,
,,,,,,,,
Consumer unit characteristics (mean values):,,,,,,,,
,,,,,,,,
Income before taxes,"$104,207","$16,658","$42,925","$74,474","$121,548","$264,510",,
,,,,,,,,
Age of reference person,52.2,57.1,56.0,50.4,48.5,48.9,,
,,,,,,,,
Average number in consumer unit:,,,,,,,,
People,2.4,1.6,2.1,2.5,2.9,3.2,,
Children under 18,.6,.3,.4,.5,.7,.8,,
Adults 65 and older,.4,.5,.6,.5,.3,.3,,
Earners,1.3,.5,.8,1.4,1.8,2.1,,
Vehicles,1.9,1.0,1.6,1.9,2.3,2.7,,
,,,,,,,,
Percent distribution:,,,,,,,,
,,,,,,,,
Reference person:,,,,,,,,
Men,48,39,44,48,51,57,,
Women,52,61,56,52,49,43,,
,,,,,,,,
Housing tenure:,,,,,,,,
Homeowner,65,43,58,62,74,88,,
With mortgage,37,12,21,33,50,68,,
Without mortgage,28,31,37,29,24,20,,
Renter,35,57,42,38,26,12,,
,,,,,,,,
Race of reference person:,,,,,,,,
Black or African-American,13,20,14,14,12,7,,
"White, Asian, and all other races, not including Black or African-American",87,80,86,86,88,93,,
,,,,,,,,
Hispanic or Latino origin of reference person:,,,,,,,,
Hispanic or Latino,16,15,19,20,15,10,,
Not Hispanic or Latino,84,85,81,80,85,90,,
,,,,,,,,
Education of reference person:,,,,,,,,
Elementary (1-8),3,5,4,2 b/,2,1 b/,,
High school (9-12),27,43,36,27,21,10,,
College,70,52,60,71,78,89,,
Never attended and other,c/,1 b/,c/,c/,c/,d/,,
,,,,,,,,
At least one vehicle owned or leased,89,68,88,93,96,97,,
,,,,,,,,
Annual aggregate expenditures,"$10,655,034",8.9,12.8,16.9,22.9,38.4,,
,,,,,,,,
Food,"1,376,343",10.8,14.6,17.9,23.3,33.5,,
Food at home,"842,257",12.3,15.9,18.7,23.0,30.0,,
Cereals and bakery products,"105,361",12.8,16.1,19.0,22.1,30.0,,
Cereals and cereal products,"32,450",12.9,16.0,18.6,22.5,30.0,,
Bakery products,"72,911",12.8,16.1,19.2,21.9,30.0,,
"Meats, poultry, fish, and eggs","191,380",12.6,15.8,19.0,23.3,29.4,,
Beef,"55,242",11.6,16.5,18.7,24.1,29.1,,
Pork,"35,134",13.8,18.1,18.6,21.9,27.6,,
Other meats,"20,274",12.3,14.2,20.1,23.0,30.4,,
Poultry,"36,180",12.8,14.9,18.7,23.2,30.3,,
Fish and seafood,"30,294",11.8,14.0,19.6,23.5,31.2,,
Eggs,"14,257",14.5,16.0,18.7,23.6,27.2,,
Dairy products,"85,433",12.2,15.6,18.8,23.2,30.2,,
